,permno,hsiccd
7205167,20853,49.0
7221539,20896,10.0
7233489,20909,35.0
7246246,21020,45.0
7246266,20976,45.0
7258898,20984,45.0
7272750,20992,28.0
7283064,21004,48.0
7320655,21055,56.0
7334657,21151,27.0
7342538,21119,35.0
7355253,21124,28.0
7364772,21178,37.0
7386414,21186,26.0
7388135,21194,61.0
7402536,21207,10.0
7440428,21223,40.0
7445923,21231,49.0
7466145,21266,50.0
7466153,21274,67.0
7487537,21282,37.0
7487557,21290,37.0
7518965,21303,20.0
7530489,21338,37.0
7546487,21346,54.0
7556552,21370,49.0
7556567,21371,51.0
7582386,21397,24.0
7582397,21418,37.0
7582400,21426,36.0
7582403,21434,39.0
7605253,21450,29.0
7633335,21469,40.0
7640558,21485,45.0
7653133,21514,49.0
7668276,21522,37.0
7680098,21530,33.0
7688865,21549,39.0
7699252,21557,35.0
7711159,21573,26.0
7736096,21645,44.0
7742208,21688,36.0
7746722,21709,13.0
7757508,21768,13.0
7757511,21776,49.0
7788660,21784,36.0
7793163,21792,49.0
7813695,21821,49.0
7828149,21872,30.0
7841017,21901,35.0
7841020,21928,49.0
7846646,21936,28.0
7887455,21979,36.0
7905052,22074,54.0
7905083,21995,40.0
7915799,22007,35.0
7924955,22015,20.0
7924962,22023,35.0
7943983,22032,67.0
7952900,22066,36.0
7981096,22082,49.0
7994645,22103,34.0
7994651,22111,38.0
8035062,22138,40.0
8046687,22170,28.0
8046705,22189,45.0
8067011,22218,40.0
8077774,22242,36.0
8083350,22250,23.0
8099610,22293,32.0
8119616,22306,37.0
8125111,22330,20.0
8131258,22365,35.0
8136384,22381,20.0
8141117,22402,40.0
8147943,22410,67.0
8156946,22429,20.0
8166011,22461,44.0
8166023,22488,36.0
8184219,22496,49.0
8198272,22509,28.0
8218118,22517,48.0
8237976,22533,35.0
8246595,22541,49.0
8260839,22568,36.0
8271815,22592,38.0
8287719,22613,49.0
8305570,22621,27.0
8315568,22623,99.0
8315593,22648,20.0
8325781,22680,35.0
8325790,22699,30.0
8341609,22728,22.0
8362323,22752,28.0
8362328,22753,56.0
8385063,22760,22.0
8389909,22779,36.0
8390359,22787,28.0
8435652,22808,35.0
8441290,22840,54.0
8458626,22859,49.0
8475257,22875,22.0
8479365,22920,20.0
8479381,22891,53.0
8503408,22939,53.0
8510371,22947,49.0
8525558,23050,28.0
8525559,22976,99.0
8525992,23018,36.0
8533419,23026,49.0
8562221,23077,20.0
8579144,23085,49.0
8597486,23114,49.0
8614155,23130,40.0
8622848,23165,22.0
8626328,23173,26.0
8629247,23210,49.0
8639248,23229,49.0
8658775,23237,40.0
8664888,23384,35.0
8664907,23253,36.0
8676060,23288,35.0
8686634,23296,22.0
8686638,23309,70.0
8707237,23317,13.0
8707248,23318,28.0
8726860,23325,26.0
8736425,23341,28.0
8756455,23393,28.0
8764395,23421,22.0
8778730,23448,49.0
8778736,23456,37.0
8793122,23464,32.0
8801841,23473,63.0
8804681,23480,28.0
8806085,23499,49.0
8833374,23501,49.0
8850722,23528,61.0
8856198,23536,49.0
8875502,23552,35.0
8890479,23569,62.0
8890743,23570,99.0
8890942,23579,37.0
8890998,23587,40.0
8917236,23683,20.0
8917293,23616,61.0
8920973,23660,23.0
8931147,23675,40.0
8945373,23712,49.0
8964572,23720,49.0
8977715,23747,35.0
8980136,23878,12.0
8980182,23800,53.0
8980203,23819,13.0
9007422,23851,49.0
9020558,23876,28.0
9025534,23886,35.0
9025542,23887,49.0
9036372,23894,33.0
9051524,23907,56.0
9055432,23915,26.0
9071081,23931,49.0
9090023,23942,99.0
9090149,23944,35.0
9090274,23990,28.0
9104588,24002,49.0
9118954,24010,49.0
9137820,24037,36.0
9146090,24046,48.0
9149058,24053,49.0
9171043,24061,49.0
9175851,24088,61.0
9183347,24096,49.0
9196096,24109,49.0
9217112,24141,49.0
9226119,24176,78.0
9226121,24174,58.0
9226185,24175,20.0
9226186,24184,49.0
9243927,24192,49.0
9255268,24205,49.0
9273938,24221,49.0
9289603,24264,33.0
9304128,24272,51.0
9322730,24328,13.0
9341310,24336,36.0
9350220,24360,49.0
9363412,24387,37.0
9368849,24459,73.0
9387356,24504,61.0
9391808,24539,20.0
9404579,24555,20.0
9412601,24563,49.0
9426908,24571,29.0
9434926,24619,36.0
9442094,24627,67.0
9450081,24635,33.0
9459536,24643,33.0
9470075,24651,37.0
9484358,24678,28.0
9496727,24707,22.0
9504893,24715,28.0
9515880,24766,38.0
9534040,24803,54.0
9544391,24811,32.0
9560188,24854,34.0
9566659,24889,28.0
9570508,24942,38.0
9586488,24985,49.0
9605393,24993,14.0
9608202,25005,28.0
9619176,25013,28.0
9629451,25022,48.0
9640988,25056,49.0
9652146,25072,49.0
9665749,25081,60.0
9668843,25099,49.0
9694267,25128,28.0
9697186,25136,48.0
9698238,25144,49.0
9709771,25160,26.0
9718985,25179,13.0
9720829,25187,78.0
9725186,25195,32.0
9730802,25216,28.0
9738581,25232,49.0
9756103,25267,13.0
9769029,25320,20.0
9786411,25339,20.0
9789190,25371,26.0
9799545,25419,36.0
9816913,25478,10.0
9816916,25487,65.0
9816919,25507,33.0
9844805,25515,65.0
9849938,25574,35.0
9857159,25582,38.0
9874394,25590,49.0
9891621,25611,48.0
9899269,25646,51.0
9909159,25662,28.0
9915927,25670,33.0
9917722,25689,22.0
9924646,25697,38.0
9931255,25718,35.0
9941643,25742,20.0
9942903,25769,13.0
9955607,25778,73.0
9964910,25785,37.0
9981981,25873,67.0
9989068,25902,32.0
9995472,25910,20.0
10005020,25953,35.0
10021904,25988,28.0
10029204,26075,44.0
10040207,26112,45.0
10052414,26120,13.0
10058913,26155,36.0
10063672,26286,32.0
10071875,26294,38.0
10081002,26307,35.0
10088537,26323,78.0
10091022,26332,60.0
10095989,26366,35.0
10100672,26382,12.0
10114163,26390,28.0
10122156,26403,48.0
10138803,26438,38.0
10149861,26446,26.0
10153101,26462,65.0
10158334,26497,42.0
10164527,26518,38.0
10177012,26534,35.0
10183300,26542,35.0
10183302,26550,60.0
10183311,26569,33.0
10207744,26622,36.0
10215462,26649,67.0
10231839,26657,54.0
10244927,26681,28.0
10254200,26710,63.0
10270516,26729,37.0
10270518,26737,48.0
10290369,26788,49.0
10296516,26825,20.0
10312787,26884,30.0
10322796,26921,35.0
10329215,27000,67.0
10336913,27027,27.0
10344239,27043,38.0
10352502,27051,36.0
10369647,27086,78.0
10377470,27087,57.0
10380419,27115,61.0
10389841,27158,20.0
10396181,27182,36.0
10396182,27174,23.0
10408749,27190,38.0
10415213,27238,35.0
10422307,27263,60.0
10428716,27297,61.0
10434541,27342,35.0
10439819,27422,10.0
10455784,27430,30.0
10471114,27465,14.0
10475132,27473,36.0
10482112,27510,20.0
10487383,27537,27.0
10489134,27561,40.0
10500578,27596,62.0
10509950,27617,65.0
10525881,27633,75.0
10541809,27713,38.0
10553878,27748,40.0
10558826,27749,35.0
10568218,27756,13.0
10584379,27764,31.0
10596102,27828,35.0
10611906,27836,23.0
10620771,27852,28.0
10623723,27879,28.0
10632518,27887,38.0
10648281,27916,27.0
10648286,27924,27.0
10657716,27940,67.0
10664767,27959,49.0
10680492,27983,35.0
10696218,27991,49.0
10705927,28003,35.0
10716574,28089,33.0
10719761,28118,36.0
10735442,28134,35.0
10741851,28169,36.0
10746275,28177,61.0
10751724,28222,28.0
10767363,28265,67.0
10771901,28281,56.0
10779115,28310,28.0
10793958,28345,13.0
10802189,28353,20.0
10819615,28388,67.0
10835200,28433,32.0
10841477,28484,29.0
10856983,28505,28.0
10857323,28513,33.0
10875209,28548,48.0
10881601,28580,48.0
10887126,28804,45.0
10902606,28847,45.0
10912702,28994,61.0
10914689,29102,13.0
10930169,29196,49.0
10939006,29911,24.0
10943603,29946,20.0
10959083,29962,63.0
10965667,30067,36.0
10970245,30330,48.0
10978706,30365,20.0
10984372,30382,53.0
10993093,30681,73.0
11005964,30912,64.0
11013074,30940,35.0
11025945,31536,36.0
11035014,31659,45.0
11041743,31763,28.0
11047306,32141,65.0
11052628,32205,54.0
11061777,32379,28.0
11072602,32475,27.0
11080659,32563,35.0
11090086,32707,13.0
11105566,32791,13.0
11117842,32803,29.0
11133911,32870,20.0
11149391,32942,36.0
11164871,32986,49.0
11174955,33056,63.0
11179910,33312,60.0
11189101,33785,36.0
11197616,33814,13.0
11206507,33873,59.0
11211167,34024,26.0
11216482,34032,34.0
11230248,34040,35.0
11240567,34147,36.0
11248873,34550,36.0
11251877,34746,67.0
11264156,34817,34.0
11279636,34833,13.0
11288942,34841,45.0
11305119,35044,60.0
11307907,35051,35.0
11331372,35166,35.0
11337230,35211,29.0
11337236,35238,55.0
11360068,35554,60.0
11372939,36003,73.0
11388419,36127,67.0
11395543,36397,60.0
11408414,36468,28.0
11416551,36469,60.0
11432991,36505,37.0
11438824,36978,26.0
11447986,37065,54.0
11454335,37102,28.0
11462472,37161,49.0
11476065,37284,29.0
11490224,37584,62.0
11500374,38041,35.0
11505542,38093,64.0
11515505,38156,49.0
11530985,38280,28.0
11535704,38324,20.0
11540790,38404,20.0
11541746,38455,58.0
11546211,38551,78.0
11553076,38578,36.0
11565571,38682,27.0
11580478,38703,60.0
11595847,38762,49.0
11611209,38893,49.0
11611241,38850,24.0
11626584,38885,23.0
11641958,38914,87.0
11653206,38930,65.0
11656017,38973,20.0
11667830,39087,48.0
11680478,39140,23.0
11687009,39263,20.0
11687023,39271,59.0
11698708,39300,32.0
11705540,39335,48.0
11712515,39394,42.0
11718412,39458,59.0
11722295,39538,39.0
11722402,39490,13.0
11752701,39626,35.0
11756852,39642,38.0
11772021,39669,70.0
11778649,39765,50.0
11789814,39896,13.0
11794334,39917,24.0
11809454,39992,28.0
11814130,40010,28.0
11819593,40053,54.0
11825732,40061,38.0
11836776,40125,73.0
11851865,40141,59.0
11857460,40221,39.0
11864368,40272,28.0
11879430,40301,26.0
11885421,40352,53.0
11892596,40416,28.0
11906620,40432,22.0
11908319,40483,78.0
11908321,40484,73.0
11921998,40539,56.0
11937010,40635,27.0
11944732,40723,27.0
11949916,40758,25.0
11950932,40790,35.0
11954990,40838,53.0
11964310,40854,48.0
11969617,41080,35.0
11976796,41081,67.0
11990348,41160,26.0
11993451,41179,28.0
12002317,41355,35.0
12017183,41427,22.0
12024466,41443,48.0
12035250,41478,35.0
12035262,41486,24.0
12045313,41515,20.0
12050392,41523,13.0
12058720,41662,59.0
12064208,41718,60.0
12072024,41785,33.0
12074226,42075,27.0
12074230,41929,42.0
12087015,41953,28.0
12093118,42024,51.0
12110900,42091,67.0
12110906,42083,28.0
12124981,42104,39.0
12133770,42200,38.0
12148493,42235,35.0
12151804,42323,20.0
12153901,42462,59.0
12159148,42526,58.0
12163997,42534,25.0
12176810,42550,28.0
12191462,42569,34.0
12199498,42585,20.0
12208672,42606,35.0
12223276,42657,10.0
12226745,42753,34.0
12232963,42796,27.0
12247055,42833,49.0
12255593,42877,42.0
12261842,42906,60.0
12278572,42999,36.0
12283711,43094,50.0
12284368,43123,33.0
12291153,43132,35.0
12301706,43203,22.0
12304887,43298,73.0
12307529,43318,47.0
12314082,43342,36.0
12320861,43350,34.0
12335840,43449,58.0
12350311,43502,36.0
12354018,43510,39.0
12358575,43553,23.0
12373032,43609,20.0
12373033,43610,28.0
12380991,43633,35.0
12381661,43772,26.0
12394935,43916,35.0
12402884,44062,22.0
12411617,44206,49.0
12425929,44273,23.0
12430359,44329,38.0
12444628,44505,35.0
12448430,44601,26.0
12462659,44644,73.0
12476884,44652,59.0
12484937,44792,73.0
12491412,44951,54.0
12504276,45014,70.0
12509870,45065,13.0
12514719,45081,20.0
12518402,45225,28.0
12532544,45241,28.0
12544293,45277,39.0
12552729,45356,50.0
12566856,45428,13.0
12575409,45495,13.0
12588329,45604,28.0
12593789,45620,58.0
12596311,45663,20.0
12598876,45671,36.0
12608459,45751,64.0
12622522,45794,35.0
12633223,45911,36.0
12647269,45970,67.0
12654879,46201,37.0
12657181,46228,13.0
12665424,46252,20.0
12668742,46288,17.0
12671609,46295,37.0
12684225,46391,49.0
12688512,46447,28.0
12692326,46544,58.0
12696729,46578,28.0
12710686,46594,67.0
12717962,46615,39.0
12723277,46658,63.0
12730014,46674,50.0
12736422,46682,67.0
12747821,46703,67.0
12761764,46754,80.0
12767206,46850,63.0
12775336,46877,38.0
12787749,46886,38.0
12798647,46922,59.0
12812513,47028,82.0
12819740,47052,48.0
12825885,47079,67.0
12833441,47159,60.0
12842366,47175,50.0
12852451,47271,51.0
12861112,47300,63.0
12867443,47386,61.0
12870899,47466,27.0
12884760,47482,58.0
12885384,47490,22.0
12894860,47562,20.0
12897965,47626,63.0
12911812,47837,28.0
12918481,47896,60.0
12932308,47941,79.0
12946132,47992,80.0
12953393,48071,67.0
12961417,48119,10.0
12963367,48223,60.0
12969099,48258,67.0
12973034,48274,49.0
12973035,48267,36.0
12991601,48354,60.0
12999194,48397,63.0
13007346,48434,39.0
13010686,48485,63.0
13019981,48486,35.0
13029976,48506,73.0
13043735,48514,50.0
13053677,48549,13.0
13057601,48565,15.0
13065402,48653,63.0
13079147,48725,40.0
13092883,48960,27.0
13102192,49015,63.0
13115904,49154,53.0
13129604,49373,72.0
13143279,49429,53.0
13156944,49592,61.0
13156946,49606,48.0
13165786,49656,60.0
13179424,49680,38.0
13193058,49744,26.0
13206689,49955,10.0
13206993,49905,56.0
13216128,49920,58.0
13229360,50017,13.0
13232477,50024,60.0
13247598,50032,54.0
13256765,50156,73.0
13259734,50200,60.0
13267697,50227,40.0
13277782,50403,48.0
13281243,50404,48.0
13290164,50534,33.0
13292846,50681,67.0
13295675,50737,32.0
13300146,50876,28.0
13308322,50905,27.0
13308472,50906,36.0
13330932,50956,63.0
13337945,51027,67.0
13339882,51043,61.0
13349939,51263,35.0
13362810,51369,38.0
13376227,51377,36.0
13386557,51561,80.0
13391185,51588,60.0
13398832,51596,49.0
13408047,51625,72.0
13421430,51706,60.0
13431158,51772,60.0
13438419,51799,20.0
13441024,51801,67.0
13444676,52038,51.0
13458003,52062,15.0
13462124,52070,36.0
13465570,52090,20.0
13478441,52230,73.0
13491735,52329,87.0
13505021,52337,80.0
13518306,52476,73.0
13531582,52505,60.0
13537806,52564,23.0
13541414,52695,50.0
13548436,52708,15.0
13567906,52821,60.0
13574667,52919,62.0
13584116,52978,39.0
13597328,53065,73.0
13610532,53081,63.0
13617048,53225,73.0
13630236,53401,80.0
13636773,53479,60.0
13645584,53612,51.0
13654904,53613,36.0
13664880,53786,49.0
13671860,53831,15.0
13681360,53858,60.0
13687406,53866,53.0
13698380,53903,60.0
13702966,53938,67.0
13710034,54009,40.0
13715450,54148,15.0
13728537,54181,38.0
13738019,54447,70.0
13743158,54463,67.0
13750384,54615,67.0
13753045,54690,70.0
13761610,54754,26.0
13765764,54827,36.0
13776103,55079,16.0
13782163,55212,34.0
13795127,55351,54.0
13798997,55386,35.0
13801401,55685,13.0
13803555,55976,53.0
13816443,56012,58.0
13817689,56098,26.0
13819185,56186,89.0
13822154,56223,24.0
13830823,56232,60.0
13841488,56266,67.0
13850540,56274,20.0
13863411,56450,60.0
13869930,56485,35.0
13873537,56573,35.0
13886350,56805,67.0
13889988,56864,20.0
13893724,57234,36.0
13897517,57250,67.0
13902821,57381,49.0
