,permno,hsiccd
4421335,16088,Electronic and Transportation Equipment Manufacturing
4421350,16087,Electronic and Transportation Equipment Manufacturing
4439160,16109,Food and Tobacco Manufacturing
4455343,16176,Utilities
4456063,16205,Chemical and Allied Manufacturing
4467297,16256,Wood and Paper Manufacturing
4478044,16267,Electronic and Transportation Equipment Manufacturing
4478625,16280,Electronic and Transportation Equipment Manufacturing
4478630,16276,Chemical and Allied Manufacturing
4480453,16279,Chemical and Allied Manufacturing
4494354,16336,Electronic and Transportation Equipment Manufacturing
4509305,16344,Metal and Machinery Manufacturing
4509307,16342,Electronic and Transportation Equipment Manufacturing
4511110,16343,Retail Trade
4523778,16346,"Finance, Insurance, and Real Estate"
4524214,16347,Metal and Machinery Manufacturing
4526016,16360,Food and Tobacco Manufacturing
4542509,16424,Metal and Machinery Manufacturing
4563192,16432,Metal and Machinery Manufacturing
4563195,16431,Food and Tobacco Manufacturing
4590308,16538,Mining
4592059,16544,Nonclassifiable Establishments
4592335,16571,Food and Tobacco Manufacturing
4610285,16581,"Finance, Insurance, and Real Estate"
4612025,16598,Metal and Machinery Manufacturing
4626456,16600,Food and Tobacco Manufacturing
4651680,16619,Food and Tobacco Manufacturing
4664350,16651,Metal and Machinery Manufacturing
4680496,16678,Retail Trade
4682174,16686,Wood and Paper Manufacturing
4716887,16692,Metal and Machinery Manufacturing
4718557,16707,Metal and Machinery Manufacturing
4734883,16723,Wood and Paper Manufacturing
4746118,16731,Metal and Machinery Manufacturing
4759592,16758,Electronic and Transportation Equipment Manufacturing
4773352,16803,Metal and Machinery Manufacturing
4788702,16816,Nonclassifiable Establishments
4790313,16851,Chemical and Allied Manufacturing
4791905,16870,Utilities
4791921,16926,Textile and Apparel Manufacturing
4822797,16969,Retail Trade
4835620,17005,Retail Trade
4860600,17013,Retail Trade
4870952,17048,Business Services
4881760,17056,Metal and Machinery Manufacturing
4891796,17064,Textile and Apparel Manufacturing
4900989,17099,Mining
4901005,17128,Wood and Paper Manufacturing
4927128,17137,Wood and Paper Manufacturing
4930180,17144,Food and Tobacco Manufacturing
4964928,17216,Food and Tobacco Manufacturing
4973882,17232,Wholesale Trade
4987429,17267,Food and Tobacco Manufacturing
5000910,17278,Wholesale Trade
5004798,17279,Food and Tobacco Manufacturing
5006562,17291,Retail Trade
5022121,17304,Retail Trade
5022134,17312,Wood and Paper Manufacturing
5037699,17307,"Finance, Insurance, and Real Estate"
5049132,17340,Transportation
5053841,17398,Mining
5063214,17419,"Finance, Insurance, and Real Estate"
5071775,17435,Wood and Paper Manufacturing
5087027,17451,Wood and Paper Manufacturing
5096495,17478,"Finance, Insurance, and Real Estate"
5122542,17486,Food and Tobacco Manufacturing
5131698,17515,Wood and Paper Manufacturing
5142544,17558,Retail Trade
5156154,17566,Metal and Machinery Manufacturing
5174865,17582,Metal and Machinery Manufacturing
5179209,17590,Chemical and Allied Manufacturing
5184514,17603,Metal and Machinery Manufacturing
5209250,17646,Metal and Machinery Manufacturing
5224733,17654,Electronic and Transportation Equipment Manufacturing
5235382,17676,"Finance, Insurance, and Real Estate"
5236809,17689,Metal and Machinery Manufacturing
5246506,17718,Metal and Machinery Manufacturing
5246511,17700,Business Services
5258702,17726,Metal and Machinery Manufacturing
5283502,17742,Electronic and Transportation Equipment Manufacturing
5283518,17743,"Finance, Insurance, and Real Estate"
5309691,17750,Wood and Paper Manufacturing
5334491,17783,Wholesale Trade
5335912,17806,Metal and Machinery Manufacturing
5356486,17830,Electronic and Transportation Equipment Manufacturing
5381310,17849,"Finance, Insurance, and Real Estate"
5394531,17881,Metal and Machinery Manufacturing
5403976,17929,Utilities
5428735,17942,Food and Tobacco Manufacturing
5430114,17953,"Finance, Insurance, and Real Estate"
5445351,17961,Electronic and Transportation Equipment Manufacturing
5469236,18016,Chemical and Allied Manufacturing
5490178,18032,Wood and Paper Manufacturing
5507863,18065,Electronic and Transportation Equipment Manufacturing
5507888,18067,Electronic and Transportation Equipment Manufacturing
5527482,18112,Construction
5527586,18091,Metal and Machinery Manufacturing
5552363,18092,Electronic and Transportation Equipment Manufacturing
5580867,18147,Metal and Machinery Manufacturing
5580879,18142,Electronic and Transportation Equipment Manufacturing
5582180,18143,Chemical and Allied Manufacturing
5601969,18163,Chemical and Allied Manufacturing
5619225,18171,Electronic and Transportation Equipment Manufacturing
5626699,18198,Health and Social Services
5656000,18278,Metal and Machinery Manufacturing
5656027,18315,Construction
5672804,18312,Nonclassifiable Establishments
5690240,18327,Nonclassifiable Establishments
5690929,18331,Metal and Machinery Manufacturing
5704320,18366,Metal and Machinery Manufacturing
5713314,18374,Electronic and Transportation Equipment Manufacturing
5731946,18382,Chemical and Allied Manufacturing
5731949,18390,Retail Trade
5764464,18403,Retail Trade
5769669,18411,Utilities
5812881,18420,Nonclassifiable Establishments
5814087,18421,Nonclassifiable Establishments
5815293,18428,Chemical and Allied Manufacturing
5816489,18446,Metal and Machinery Manufacturing
5833957,18454,Food and Tobacco Manufacturing
5842900,18542,Metal and Machinery Manufacturing
5865976,18550,Retail Trade
5867544,18551,"Finance, Insurance, and Real Estate"
5886262,18569,Metal and Machinery Manufacturing
5904966,18576,Transportation
5905170,18585,Wood and Paper Manufacturing
5906155,18578,Textile and Apparel Manufacturing
5920612,18592,Agricultural
5921766,18649,Transportation
5946360,18681,Electronic and Transportation Equipment Manufacturing
5965638,18729,Chemical and Allied Manufacturing
5965646,18724,Retail Trade
5991340,18825,Metal and Machinery Manufacturing
6003772,18841,Metal and Machinery Manufacturing
6003776,18868,Utilities
6020514,18884,Retail Trade
6034559,18921,Metal and Machinery Manufacturing
6053137,18948,Electronic and Transportation Equipment Manufacturing
6070857,18980,Wholesale Trade
6087628,18999,Metal and Machinery Manufacturing
6087636,19019,Metal and Machinery Manufacturing
6117868,19027,Chemical and Allied Manufacturing
